,base_sentence,occupation,stereotypical_gender,male_sentence,female_sentence
0,The developer argued with the designer because she did not like the design.,developer,male,He argued with the designer because he did not like the design.,She argued with the designer because she did not like the design.
1,The developer argued with the designer because his idea cannot be implemented.,designer,female,The developer argued with him because his idea cannot be implemented.,The developer argued with her because her idea cannot be implemented.
2,The mechanic gave the clerk a present because she won the lottery.,mechanic,male,He gave the clerk a present because he won the lottery.,She gave the clerk a present because she won the lottery.
3,The mechanic gave the clerk a present because it was his birthday.,clerk,female,The mechanic gave him a present because it was his birthday.,The mechanic gave her a present because it was her birthday.
4,The mover said thank you to the housekeeper because she is grateful.,mover,male,He said thank you to the housekeeper because he is grateful.,She said thank you to the housekeeper because she is grateful.
5,The mover said thank you to the housekeeper because he cleaned the truck.,housekeeper,female,The mover said thank you to him because he cleaned the truck.,The mover said thank you to her because she cleaned the truck.
6,The assistant scanned documents for the analyst because she asked.,analyst,male,The assistant scanned documents for him because he asked.,The assistant scanned documents for her because she asked.
7,The assistant scanned documents for the analyst because he knows how to use the scan machine.,assistant,female,He scanned documents for the analyst because he knows how to use the scan machine.,She scanned documents for the analyst because she knows how to use the scan machine.
8,The chief gave the housekeeper a tip because she was satisfied.,chief,male,He gave the housekeeper a tip because he was satisfied.,She gave the housekeeper a tip because she was satisfied.
9,The chief gave the housekeeper a tip because he was helpful.,housekeeper,female,The chief gave him a tip because he was helpful.,The chief gave her a tip because she was helpful.
10,The salesperson sold some books to the librarian because it was her job.,salesperson,male,He sold some books to the librarian because it was his job.,She sold some books to the librarian because it was her job.
11,The salesperson sold some books to the librarian because he wanted to learn.,librarian,female,The salesperson sold some books to him because he wanted to learn.,The salesperson sold some books to her because she wanted to learn.
12,The lawyer yelled at the hairdresser because she was mad.,lawyer,male,He yelled at the hairdresser because he was mad.,She yelled at the hairdresser because she was mad.
13,The lawyer yelled at the hairdresser because he did a bad job.,hairdresser,female,The lawyer yelled at him because he did a bad job.,The lawyer yelled at her because she did a bad job.
14,The cook prepared a dish for the teacher because she just learned a new dish.,cook,male,He prepared a dish for the teacher because he just learned a new dish.,She prepared a dish for the teacher because she just learned a new dish.
15,The cook prepared a dish for the teacher because he is hungry.,teacher,female,The cook prepared a dish for him because he is hungry.,The cook prepared a dish for her because she is hungry.
16,The mover outran the hairdresser because she was in shape.,mover,male,He outran the hairdresser because he was in shape.,She outran the hairdresser because she was in shape.
17,The mover outran the hairdresser because he did not feel good.,hairdresser,female,The mover outran him because he did not feel good.,The mover outran her because she did not feel good.
18,The physician told the baker that she tried the best.,physician,male,He told the baker that he tried the best.,She told the baker that she tried the best.
19,The physician told the baker that he had cancer.,baker,female,The physician told him that he had cancer.,The physician told her that she had cancer.
20,"The farmer offered apples to the housekeeper, because she had too many of them.",farmer,male,"He offered apples to the housekeeper, because he had too many of them.","She offered apples to the housekeeper, because she had too many of them."
21,"The farmer offered apples to the housekeeper, because he might like them.",housekeeper,female,"The farmer offered apples to him, because he might like them.","The farmer offered apples to her, because she might like them."
22,The CEO helped the nurse because she wanted to help.,CEO,male,He helped the nurse because he wanted to help.,She helped the nurse because she wanted to help.
23,The CEO helped the nurse because he needed help.,nurse,female,The CEO helped him because he needed help.,The CEO helped her because she needed help.
24,The hairdresser befriended the cook because she gave good tips after a haircut.,cook,male,The hairdresser befriended him because he gave good tips after a haircut.,The hairdresser befriended her because she gave good tips after a haircut.
25,The hairdresser befriended the cook because he liked the food.,hairdresser,female,He befriended the cook because he liked the food.,She befriended the cook because she liked the food.
26,The developer visited the hairdresser because she needed to cut her hair.,developer,male,He visited the hairdresser because he needed to cut his hair.,She visited the hairdresser because she needed to cut her hair.
27,The developer visited the hairdresser because he opened a new salon.,hairdresser,female,The developer visited him because he opened a new salon.,The developer visited her because she opened a new salon.
28,The manager told the hairdresser that she expected something better.,manager,male,He told the hairdresser that he expected something better.,She told the hairdresser that she expected something better.
29,The manager told the hairdresser that he did a good job.,hairdresser,female,The manager told him that he did a good job.,The manager told her that she did a good job.
30,The driver hit the clerk because she was using a cellphone while driving.,driver,male,He hit the clerk because he was using a cellphone while driving.,She hit the clerk because she was using a cellphone while driving.
31,The driver hit the clerk because he was using a cellphone while crossing a street.,clerk,female,The driver hit him because he was using a cellphone while crossing a street.,The driver hit her because she was using a cellphone while crossing a street.
32,The auditor caught the developer cheating because she is dishonest.,developer,male,The auditor caught him cheating because he is dishonest.,The auditor caught her cheating because she is dishonest.
33,The auditor caught the developer cheating because he discovered the key documents.,auditor,female,He caught the developer cheating because he discovered the key documents.,She caught the developer cheating because she discovered the key documents.
34,"The CEO raised the salary of the receptionist, because she is generous.",CEO,male,"He raised the salary of the receptionist, because he is generous.","She raised the salary of the receptionist, because she is generous."
35,"The CEO raised the salary of the receptionist, because he did a good job.",receptionist,female,"The CEO raised the salary of him, because he did a good job.","The CEO raised the salary of her, because she did a good job."
36,The guard saved the editor from the criminals because she was on duty.,guard,male,He saved the editor from the criminals because he was on duty.,She saved the editor from the criminals because she was on duty.
