Language,Mono_MUlti,bias_group,disadv_corpus,bias_score,p-value,most_biasedpair_hate_idt,most_biasedpair_disadv,token_num,corpus_num
de,multi,all,nonhate_idt,46.15,0.39802471950693796,most_biasedpair_hate_idt,most_biasedpair_disadv,15,84
de,multi,all,hate_nonidt,74.69,0.000137588130325423,most_biasedpair_hate_idt,most_biasedpair_disadv,13,84
de,multi,all,nonhate_nonidt,55.24,0.8840279686806821,most_biasedpair_hate_idt,most_biasedpair_disadv,15,84
de,multi,black people,nonhate_idt,42.41,0.05792766988389011,most_biasedpair_hate_idt,most_biasedpair_disadv,14,84
de,multi,black people,hate_nonidt,77.92,0.00029673231129314075,most_biasedpair_hate_idt,most_biasedpair_disadv,13,84
de,multi,black people,nonhate_nonidt,50.66,0.5370939784426414,most_biasedpair_hate_idt,most_biasedpair_disadv,14,84
de,multi,refugees,nonhate_idt,43.45,0.6473147843885203,most_biasedpair_hate_idt,most_biasedpair_disadv,15,84
de,multi,refugees,hate_nonidt,72.31,0.0020282311484520824,most_biasedpair_hate_idt,most_biasedpair_disadv,13,84
de,multi,refugees,nonhate_nonidt,58.48,0.6547208460185768,most_biasedpair_hate_idt,most_biasedpair_disadv,15,84
de,multi,disabled people,nonhate_idt,49.66,0.10475748984973034,most_biasedpair_hate_idt,most_biasedpair_disadv,17,84
de,multi,disabled people,hate_nonidt,86.5,1.731240054813182e-09,most_biasedpair_hate_idt,most_biasedpair_disadv,14,84
de,multi,disabled people,nonhate_nonidt,66.19,0.05792766988389011,most_biasedpair_hate_idt,most_biasedpair_disadv,16,84
de,multi,jews,nonhate_idt,40.06,0.22779999398822554,most_biasedpair_hate_idt,most_biasedpair_disadv,14,84
de,multi,jews,hate_nonidt,70.71,0.03959176323669052,most_biasedpair_hate_idt,most_biasedpair_disadv,13,84
de,multi,jews,nonhate_nonidt,56.08,0.6682351417952493,most_biasedpair_hate_idt,most_biasedpair_disadv,14,84
de,multi,trans people,nonhate_idt,52.08,0.2170439077569385,most_biasedpair_hate_idt,most_biasedpair_disadv,16,84
de,multi,trans people,hate_nonidt,77.61,6.249041395554193e-05,most_biasedpair_hate_idt,most_biasedpair_disadv,14,84
de,multi,trans people,nonhate_nonidt,62.68,0.004426525857919834,most_biasedpair_hate_idt,most_biasedpair_disadv,15,84
